target_id,action_id,target_name,action_name,frequency,is_recommended
21,7,マフラーカバー,取付,2,False
17,11,フロントバンパー,点検,2,False
4,11,ブラケット,点検,2,False
3,20,ステー,カバー,2,False
20,11,アンダーミラー,点検,2,False
5,11,パイプ,点検,2,False
19,9,バンパーフィニッシャー,曲がり直し,2,False
44,1,リアフェンダー,取替,2,False
2,23,サイドガード,引出し,2,False
21,1,マフラーカバー,取替,2,False
8,3,ホース,溶接,2,False
28,8,バックミラー,修正,2,False
4,28,ブラケット,仕上げ,2,False
20,17,アンダーミラー,付替,2,False
39,4,サイドパネル,加工,2,False
4,18,ブラケット,取り外し,2,False
12,2,ブレーキ,脱着,2,False
9,27,ハンドル,切替,2,False
30,15,ドアパネル,鈑金,2,False
6,10,燃料タンク,製作,2,False
19,15,バンパーフィニッシャー,鈑金,2,False
23,3,バッテリー,溶接,2,False
1,21,ドア,貼付,2,False
16,5,ファーストステップ,交換,2,False
27,5,サイドミラー,交換,2,False
4,13,ブラケット,調整,2,False
9,9,ハンドル,曲がり直し,2,False
24,4,タイヤハウスカバー,加工,2,False
26,5,ヘッドライト,交換,2,False
15,9,インナーバンパー,曲がり直し,2,False
24,1,タイヤハウスカバー,取替,2,False
5,9,パイプ,曲がり直し,2,False
28,1,バックミラー,取替,2,False
40,7,エンジン,取付,2,False
18,5,アッパーフェンダー,交換,2,False
21,3,マフラーカバー,溶接,2,False
8,15,ホース,鈑金,2,False
28,5,バックミラー,交換,2,False
40,6,エンジン,修理,1,False
25,2,マッドガード,脱着,1,False
2,20,サイドガード,カバー,1,False
21,9,マフラーカバー,曲がり直し,1,False
32,1,アンダーカバー,取替,1,False
3,18,ステー,取り外し,1,False
58,1,フロントフェンダー,取替,1,False
23,8,バッテリー,修正,1,False
23,11,バッテリー,点検,1,False
23,21,バッテリー,貼付,1,False
10,20,コーナーパネル,カバー,1,False
50,1,サイドセンサー,取替,1,False
50,20,サイドセンサー,カバー,1,False
33,6,エアタンク,修理,1,False
33,15,エアタンク,鈑金,1,False
10,15,コーナーパネル,鈑金,1,False
42,1,ロアカバー,取替,1,False
43,23,インナーパネル,引出し,1,False
23,9,バッテリー,曲がり直し,1,False
33,1,エアタンク,取替,1,False
35,10,タイヤ灯,製作,1,False
35,14,タイヤ灯,塗装,1,False
40,1,エンジン,取替,1,False
59,1,フィルター,取替,1,False
41,4,ペダル,加工,1,False
16,21,ファーストステップ,貼付,1,False
5,20,パイプ,カバー,1,False
45,8,NOXセンサー,修正,1,False
33,2,エアタンク,脱着,1,False
17,10,フロントバンパー,製作,1,False
10,13,コーナーパネル,調整,1,False
23,7,バッテリー,取付,1,False
27,17,サイドミラー,付替,1,False
39,2,サイドパネル,脱着,1,False
39,20,サイドパネル,カバー,1,False
39,22,サイドパネル,清掃,1,False
3,21,ステー,貼付,1,False
23,16,バッテリー,張替,1,False
51,2,コンプレッサー,脱着,1,False
51,8,コンプレッサー,修正,1,False
41,20,ペダル,カバー,1,False
52,1,クラッチ,取替,1,False
52,20,クラッチ,カバー,1,False
23,12,バッテリー,切断,1,False
52,2,クラッチ,脱着,1,False
20,8,アンダーミラー,修正,1,False
31,20,セカンドステップ,カバー,1,False
15,6,インナーバンパー,修理,1,False
25,17,マッドガード,付替,1,False
9,5,ハンドル,交換,1,False
12,7,ブレーキ,取付,1,False
53,1,ワイパー,取替,1,False
9,15,ハンドル,鈑金,1,False
27,8,サイドミラー,修正,1,False
32,6,アンダーカバー,修理,1,False
4,34,ブラケット,分解,1,False
45,2,NOXセンサー,脱着,1,False
6,6,燃料タンク,修理,1,False
33,4,エアタンク,加工,1,False
6,18,燃料タンク,取り外し,1,False
32,3,アンダーカバー,溶接,1,False
35,8,タイヤ灯,修正,1,False
23,10,バッテリー,製作,1,False
60,6,オイルタンク,修理,1,False
60,8,オイルタンク,修正,1,False
6,34,燃料タンク,分解,1,False
