target_id,action_id,position_id,target_name,action_name,position_name,frequency,is_recommended
15,23,10,インナーバンパー,引出し,インナー,5,True
29,1,11,ロアフェンダー,取替,ロア,5,True
16,20,2,ファーストステップ,カバー,右,5,True
4,12,2,ブラケット,切断,右,5,True
1,11,2,ドア,点検,右,5,True
3,8,13,ステー,修正,後,5,True
4,10,1,ブラケット,製作,左,5,True
18,2,15,アッパーフェンダー,脱着,アッパー,5,True
2,15,2,サイドガード,鈑金,右,5,True
17,1,5,フロントバンパー,取替,フロント,5,True
5,3,9,パイプ,溶接,下,5,True
3,15,1,ステー,鈑金,左,5,True
3,15,4,ステー,鈑金,サイド,5,True
4,9,2,ブラケット,曲がり直し,右,5,True
3,27,2,ステー,切替,右,5,True
3,12,2,ステー,切断,右,5,True
5,10,2,パイプ,製作,右,5,True
4,3,6,ブラケット,溶接,前,5,True
1,9,2,ドア,曲がり直し,右,5,True
1,15,1,ドア,鈑金,左,5,True
24,2,1,タイヤハウスカバー,脱着,左,4,True
24,20,2,タイヤハウスカバー,カバー,右,4,True
4,8,22,ブラケット,修正,ファースト,4,True
16,2,1,ファーストステップ,脱着,左,4,True
16,2,2,ファーストステップ,脱着,右,4,True
16,8,1,ファーストステップ,修正,左,4,True
16,8,2,ファーストステップ,修正,右,4,True
29,8,11,ロアフェンダー,修正,ロア,4,True
4,15,2,ブラケット,鈑金,右,4,True
5,7,2,パイプ,取付,右,4,True
5,7,4,パイプ,取付,サイド,4,True
25,1,1,マッドガード,取替,左,4,True
1,8,13,ドア,修正,後,4,True
2,8,13,サイドガード,修正,後,4,True
4,10,6,ブラケット,製作,前,4,True
10,9,2,コーナーパネル,曲がり直し,右,4,True
4,7,13,ブラケット,取付,後,4,True
5,4,6,パイプ,加工,前,4,True
3,8,6,ステー,修正,前,4,True
3,2,6,ステー,脱着,前,4,True
2,10,13,サイドガード,製作,後,4,True
3,4,13,ステー,加工,後,4,True
3,10,4,ステー,製作,サイド,4,True
1,2,6,ドア,脱着,前,4,True
1,2,13,ドア,脱着,後,4,True
4,7,6,ブラケット,取付,前,4,True
2,14,4,サイドガード,塗装,サイド,4,True
2,27,6,サイドガード,切替,前,4,True
2,27,13,サイドガード,切替,後,4,True
5,3,13,パイプ,溶接,後,4,True
5,27,13,パイプ,切替,後,4,True
3,2,13,ステー,脱着,後,4,True
8,1,1,ホース,取替,左,4,True
8,4,1,ホース,加工,左,4,True
2,6,4,サイドガード,修理,サイド,4,True
2,3,23,サイドガード,溶接,3番,4,True
3,3,23,ステー,溶接,3番,4,True
4,2,22,ブラケット,脱着,ファースト,3,True
31,2,18,セカンドステップ,脱着,セカンド,3,True
15,15,10,インナーバンパー,鈑金,インナー,3,True
1,9,1,ドア,曲がり直し,左,3,True
16,20,1,ファーストステップ,カバー,左,3,True
17,2,5,フロントバンパー,脱着,フロント,3,True
27,1,4,サイドミラー,取替,サイド,3,True
4,10,13,ブラケット,製作,後,3,True
18,1,15,アッパーフェンダー,取替,アッパー,3,True
1,25,7,ドア,研磨,上,3,True
1,28,7,ドア,仕上げ,上,3,True
8,2,1,ホース,脱着,左,3,True
8,2,2,ホース,脱着,右,3,True
