name,name_norm,is_active,count,example
ヘッドライト,ヘッドライト,true,25,右ヘッドライト取替
テールライト,テールライト,true,24,左テールランプ脱着
フォグライト,フォグライト,true,19,左フォグランプ取替
バックライト,バックライト,true,11,左右バックランプ脱着
マーカーライト,マーカーライト,true,10,マーカーランプ取付ボルト切断加工
テールライトブラケット,テールライトブラケット,true,7,右テールランプブラケット曲がり直し
ヘッドライト組替,ヘッドライト組替,true,7,右ヘッドライト組替
フォグライト組替,フォグライト組替,true,7,右フォグランプ組替
ヘッドライト付替,ヘッドライト付替,true,6,左ヘッドライト付替
フラッシャーライト,フラッシャーライト,true,6,右フラッシャーランプ取替取付部分修正
テールライトレンズ,テールライトレンズ,true,6,右テールランプレンズ交換
クライト,クライト,true,5,クランプ取替
ヘッドライト引出し,ヘッドライト引出し,true,5,ヘッドライト引出し
マーカーライトステー,マーカーライトステー,true,4,マーカーランプステー切断鈑金取替加工溶接
ライトベゼル,ライトベゼル,true,4,右ライトベゼル取替
バックライトステー製作,バックライトステー製作,true,4,バックランプステー製作取替加工
コーナーライト,コーナーライト,true,3,コーナーランプ脱着
テールライトブラケット製作,テールライトブラケット製作,true,3,テールランプブラケット製作
ステップライト,ステップライト,true,2,ステップライト取替
バックライト付替え,バックライト付替え,true,2,左右バックランプ付替え
フォグライトカバー,フォグライトカバー,true,2,フォグランプカバー取替
ステップライト付替え,ステップライト付替え,true,2,ステップランプ付替え
テールライトブッシュボルト,テールライトブッシュボルト,true,2,左テールランプブッシュボルト2個切断取替
ライト,ライト,true,2,ランプ脱着ゴム交換
フォグライト付替,フォグライト付替,true,2,右フォグランプ付替
テールライトASSY,テールライトASSY,true,2,左テールランプASSY交換
バックライトステイ,バックライトステイ,true,2,バックランプステイ切断付替え加工
コーナーライト引出し,コーナーライト引出し,true,2,コーナーランプ引出し
マフラーセンサーボルト折れ込み,マフラーセンサーボルト折れ込み,true,3,DPFマフラーセンサーボルト折れ込み取外し加工
NOXセンサー,NOXセンサー,true,2,NOXセンサー取り付け部ネジ山修正
センサー,センサー,true,2,センサー脱着
サイドセンサーカバー,サイドセンサーカバー,true,2,サイドセンサーカバー取替
サイドガード,サイドガード,true,112,左サイドガード脱着
ステー,ステー,true,108,ステー
