name,name_norm,is_active,count,example,category,category_name
アンダーミラー,アンダーミラー,true,21,アンダーミラー点検応急貼付,interior,内装・装備
バックミラー,バックミラー,true,9,左バックミラーステー脱着応急修正,interior,内装・装備
ウィンドシールドパネル,ウィンドシールドパネル,true,6,ウィンドシールドロアパネル修正錆,interior,内装・装備
ウィングシート,ウィングシート,true,5,ウィングシート破れ部分補修シート貼付コーキング止め6か所,interior,内装・装備
パネルASSY,パネルASSY,true,5,左ドアーパネルASSY交換,interior,内装・装備
ミラーステー,ミラーステー,false,4,右ミラーステー調整,interior,内装・装備
クッションゴム,クッションゴム,false,3,クッションゴム取替貼付２枚,interior,内装・装備
シートブラケット,シートブラケット,false,3,シートブラケット増し締め点検,interior,内装・装備
メッキミラー,メッキミラー,false,3,メッキミラーカバー付替え加工,interior,内装・装備
メッキミラーカバー,メッキミラーカバー,false,3,メッキミラーカバー付替え加工,interior,内装・装備
高速ミラー,高速ミラー,false,3,高速ミラー取替,interior,内装・装備
コボレーンシート,コボレーンシート,false,2,コボレーンシート押え脱着,interior,内装・装備
シートASSY,シートASSY,false,2,ドライバーシートASSY交換,interior,内装・装備
シートカバー,シートカバー,false,2,シートカバー修正取付加工,interior,内装・装備
シールパネル,シールパネル,false,2,右サイドインナーシールパネル応急引出し鈑金,interior,内装・装備
ステップパネル,ステップパネル,false,2,右ステップパネル応急引出し,interior,内装・装備
パネルカバー,パネルカバー,false,2,左コーナーパネルカバー取付,interior,内装・装備
タンクブラケット,タンクブラケット,false,4,タンクブラケット応急曲がり直し,wiper,ワイパー・洗浄
ゴム,ゴム,true,193,ウェザーストリップゴム取替,sealing,シール・ゴム類
泥除けゴム,泥除けゴム,true,34,左右泥除けゴム脱着ブラケット切断脱着曲がり直し付け替え溶接,sealing,シール・ゴム類
ウェザーストリップゴム,ウェザーストリップゴム,true,22,ウェザーストリップゴム取替,sealing,シール・ゴム類
アーチゴム,アーチゴム,true,13,アーチゴム取替加工,sealing,シール・ゴム類
ストリップゴム,ストリップゴム,false,4,左右前後ウィングドアーストリップゴム接着材剝ぎ取り･ストリップゴム接着貼替,sealing,シール・ゴム類
プラットホームゴム,プラットホームゴム,false,4,プラットホームゴム3本取替加工,sealing,シール・ゴム類
戸当たりゴム,戸当たりゴム,false,4,戸当たりゴム脱着,sealing,シール・ゴム類
スプラッシュゴム,スプラッシュゴム,false,3,スプラッシュゴム交換,sealing,シール・ゴム類
スプラッシュシールゴム,スプラッシュシールゴム,false,3,スプラッシュシールゴム取替,sealing,シール・ゴム類
敷ゴム,敷ゴム,false,3,敷ゴム貼替取替,sealing,シール・ゴム類
マッドガードゴム,マッドガードゴム,false,2,左右フロントマッドガードゴム取替加工,sealing,シール・ゴム類
泥除けゴムブラケット,泥除けゴムブラケット,false,2,センター泥除けゴムブラケット取外し取替,sealing,シール・ゴム類
ボルト,ボルト,true,429,押えボルト折れ込み取替加工２本,fastener,ファスナー・取付部品
ステー,ステー,true,423,右ウイング枠骨ステー腐食部分切断付け替え溶接,fastener,ファスナー・取付部品
ブラケット,ブラケット,true,289,左ウイング後ろウイングキャッチブラケット折損部補強リブ取付加工,fastener,ファスナー・取付部品
ガードステー,ガードステー,true,43,左サイドガードステー曲がり直し鈑金,fastener,ファスナー・取付部品
ステップブラケット,ステップブラケット,true,16,ステップブラケット脱着修正,fastener,ファスナー・取付部品
嚙み込みボルト,嚙み込みボルト,true,12,嚙み込みボルト２本切断取替加工,fastener,ファスナー・取付部品
リヤナンバーブラケット,リヤナンバーブラケット,true,10,リヤナンバーブラケット脱着移設加工,fastener,ファスナー・取付部品
突っ張りステー,突っ張りステー,true,10,突っ張りステー取替,fastener,ファスナー・取付部品
工具箱ステー,工具箱ステー,true,9,工具箱ステー左右切替加工溶接2本,fastener,ファスナー・取付部品
ナンバーブラケット,ナンバーブラケット,true,8,ナンバーブラケット修正,fastener,ファスナー・取付部品
ナンバーボルト,ナンバーボルト,true,6,前後ナンバーボルト脱着タップ掛け,fastener,ファスナー・取付部品
作業灯ステー,作業灯ステー,true,6,作業灯ステー4本製作取付加工,fastener,ファスナー・取付部品
折損ボルト,折損ボルト,true,5,折損ボルト取替加工,fastener,ファスナー・取付部品
ステンボルト,ステンボルト,false,4,左前フェンダー分解応急曲がり直し取付（8㎜ステンボルト4セット込み）,fastener,ファスナー・取付部品
ブラケットカバー,ブラケットカバー,false,4,ブラケットカバー,fastener,ファスナー・取付部品
工具箱ブラケット,工具箱ブラケット,false,4,工具箱ブラケット腐食ステー2本切断製作取替溶接,fastener,ファスナー・取付部品
Uボルト,Uボルト,false,3,Uボルト固定溶接1ヶ所,fastener,ファスナー・取付部品
アンダーステー,アンダーステー,false,3,アンダーステー脱着,fastener,ファスナー・取付部品
ガゼットボルト,ガゼットボルト,false,3,ガゼットボルト取付,fastener,ファスナー・取付部品
リヤナンバーボルト,リヤナンバーボルト,false,3,リヤナンバーボルト折れ込み取外し取替,fastener,ファスナー・取付部品
蝶番ボルト,蝶番ボルト,false,3,ウィング蝶番ボルト2本取り付け点検,fastener,ファスナー・取付部品
CIタップボルト,CIタップボルト,false,2,CIタップボルト,fastener,ファスナー・取付部品
UDPCボルト,UDPCボルト,false,2,UDPC取付ボルト折れ込み修理,fastener,ファスナー・取付部品
カバーボルト,カバーボルト,false,2,右ファーストステップカバーボルト２本取替,fastener,ファスナー・取付部品
カプラーガイドブラケット,カプラーガイドブラケット,false,2,右カプラーガイドブラケット脱着切断鈑金溶接,fastener,ファスナー・取付部品
カプラーステー,カプラーステー,false,2,右フレーム曲がり直しカプラーステー鈑金,fastener,ファスナー・取付部品
ステー制作,ステー制作,false,2,左ステー制作取付,fastener,ファスナー・取付部品
バックカメラブラケット,バックカメラブラケット,false,2,バックカメラブラケット制作取付加工,fastener,ファスナー・取付部品
ブラケットボルト,ブラケットボルト,false,2,ブラケットボルト折れ込み修理,fastener,ファスナー・取付部品
ブラケット取りし,ブラケット取りし,false,2,左右観音扉コンパネ入れブラケット取り外し,fastener,ファスナー・取付部品
ブレ止めステー,ブレ止めステー,false,2,ブレ止めステー製作取替加工,fastener,ファスナー・取付部品
ボルト止め,ボルト止め,false,2,荷台内架台修正ボルト止め,fastener,ファスナー・取付部品
ロングボルト,ロングボルト,false,2,ロングボルト2本取替,fastener,ファスナー・取付部品
延長ブラケット,延長ブラケット,false,2,延長ブラケット亀裂カット溶接,fastener,ファスナー・取付部品
押えボルト,押えボルト,false,2,押えボルト折れ込み取替加工２本,fastener,ファスナー・取付部品
穴掘りボルト,穴掘りボルト,false,2,穴掘りボルト２本止め固定加工,fastener,ファスナー・取付部品
固定ボルト,固定ボルト,false,2,固定ボルト1本取替ブッシュ取付加工,fastener,ファスナー・取付部品
根太穴掘りボルト,根太穴掘りボルト,false,2,横根太穴掘りボルト留め加工,fastener,ファスナー・取付部品
床枠ボルト,床枠ボルト,false,2,左右床枠ボルト折れ込み修理2本,fastener,ファスナー・取付部品
折損ステー,折損ステー,false,2,折損ステー取付リブ入れ溶接,fastener,ファスナー・取付部品
幌骨差込ブラケット,幌骨差込ブラケット,false,2,幌骨差込ブラケット折損パイプ取付溶接,fastener,ファスナー・取付部品
踊場枠骨ボルト,踊場枠骨ボルト,false,2,踊場右枠骨ボルト折れ込み取外し取替加工,fastener,ファスナー・取付部品
ガード,ガード,true,588,左右サイドガード亀裂溶接4ヶ所,protection,カバー・プロテクター
カバー,カバー,true,278,安全ガラスアウターカバー脱着異音防止加工,protection,カバー・プロテクター
マッドガード,マッドガード,true,14,マッドガード加工,protection,カバー・プロテクター
アンダーカバー,アンダーカバー,true,9,アンダーカバー取替,protection,カバー・プロテクター
エンドカバー,エンドカバー,true,7,エンドカバー取替え,protection,カバー・プロテクター
ステップカバー,ステップカバー,true,7,左ステップカバー取替,protection,カバー・プロテクター
ガードカバー,ガードカバー,true,5,ガードカバー,protection,カバー・プロテクター
メッキカバー,メッキカバー,false,4,メッキカバー取替,protection,カバー・プロテクター
ファーストステップカバー,ファーストステップカバー,false,3,左ファーストステップロアカバー取替,protection,カバー・プロテクター
ステンガード,ステンガード,false,2,ステンサイドガード折損修正ステン溶接2カ所,protection,カバー・プロテクター
バックガード,バックガード,false,2,バックガード脱着2枚,protection,カバー・プロテクター
リヤカバー,リヤカバー,false,2,リヤカバー,protection,カバー・プロテクター
プレート,プレート,true,64,スカッフプレート脱着,other,その他
スカッフプレート,スカッフプレート,true,16,スカッフプレート脱着,other,その他
ナンバープレート,ナンバープレート,true,8,ナンバープレート封印取外し,other,その他
バックプレート,バックプレート,false,3,バックプレート脱着,other,その他
泥除けプレート,泥除けプレート,false,3,センター泥除けプレート脱着切断加工,other,その他
補強プレート,補強プレート,false,2,補強プレート穴掘り加工取替,other,その他
