invoice_no,invoice_month,invoice_date,customer_name,subject,registration,order_number,internal_order_number,total_amount,old_tax,remarks,subtotal,tax_amount,total_amount_incl_tax
25063417-1,2506,2025/6/2,UDトラックス株式会社,中野運送　中野正博,筑豊130え･･89,1700414488,2502636-01,8800,800,,8000,800,8800
25063418-1,2506,2025/6/2,UDトラックス株式会社,いすゞ自動車九州株式会社長崎サービスセンター,長崎101か･･･1,1700414490,250262-01,25300,2300,,23000,2300,25300
25063418-2,2506,2025/6/2,UDトラックス株式会社,いすゞ自動車九州株式会社長崎サービスセンター,長崎101か･･･1,1700414490,250262-01,5500,500,,5000,500,5500
25063419-1,2506,2025/6/4,UDトラックス株式会社,いすゞ自動車九州株式会社長崎サービスセンター,長崎130あ5380,1700414489,2502626-01,19800,1800,,18000,1800,19800
25063420-1,2506,2025/6/4,UDトラックス株式会社,株式会社ロジコム・アイ,北九州100あ9036,1700414494,2502667-01,11000,1000,,10000,1000,11000
25063421-1,2506,2025/6/5,UDトラックス株式会社,東邦興産株式会社,北九州100き3314,1700414495,2502533-01,11000,1000,,10000,1000,11000
25063422-1,2506,2025/6/5,UDトラックス株式会社,鶴丸海運株式会社,北九州100え3245,1700414500,2502707-01,8800,800,,8000,800,8800
25063423-1,2506,2025/6/5,UDトラックス株式会社,鶴丸海運株式会社,北九州130か3001,1700414501,2502650-01,5500,500,,5000,500,5500
