name,name_norm,basic_part,count,example
右コーナーカバー,右コーナーカバー,カバー,1,"右コーナーカバー取替"
シャフトカバー,シャフトカバー,カバー,1,"シャフトカバー脱着"
エンジンリアカバー,エンジンリアカバー,カバー,1,"エンジンリアカバー脱着8㎜ボルト2本取替"
ウィング支柱アルミカバー,ウィング支柱アルミカバー,カバー,1,"ウィング支柱アルミカバー脱着曲がり直しリベット打ち替え2本"
右フェンダーカバー,右フェンダーカバー,カバー,1,"右フェンダーカバー傷面取り仕上"
カバー傷面取り仕上,カバー傷面取り仕上,カバー,1,"右フェンダーカバー傷面取り仕上"
アルミセンターカバー,アルミセンターカバー,カバー,1,"アルミセンターカバー脱着鈑金塗装"
右エンジンカバー,右エンジンカバー,カバー,1,"右エンジンカバー"
フロントグリル化粧カバー,フロントグリル化粧カバー,カバー,1,"フロントグリル化粧カバー脱着"
フロントグリルメッキカバー,フロントグリルメッキカバー,カバー,1,"フロントグリルメッキカバー貼付"
カバー貼付,カバー貼付,カバー,1,"フロントグリルメッキカバー貼付"
断熱カバー,断熱カバー,カバー,1,"断熱カバー切断脱着溶接"
左サイドパネルメッキカバー,左サイドパネルメッキカバー,カバー,1,"左サイドパネルメッキカバー脱着清掃両面テープ貼替加工"
カバー接着貼付,カバー接着貼付,カバー,1,"カバー接着貼付"
リヤメンバーステンカバー,リヤメンバーステンカバー,カバー,1,"リヤメンバーステンカバー貼り付け加工"
左エンジンカバー,左エンジンカバー,カバー,1,"左エンジンカバー脱着"
アルミ接続カバー,アルミ接続カバー,カバー,1,"アルミ接続カバー脱着切断取外し"
センターバンパーカバー,センターバンパーカバー,カバー,1,"センターバンパーカバー"
リヤエンジンカバー,リヤエンジンカバー,カバー,1,"リヤエンジンカバーステー折損取付加工溶接"
サイドカバー,サイドカバー,カバー,1,"サイドカバー脱着"
リヤゲート下ステンカバー,リヤゲート下ステンカバー,カバー,1,"リヤゲート下ステンカバー修正ステン溶接"
スプリングカバー,スプリングカバー,カバー,1,"スプリングカバー取替"
乗降ハンドルカバー,乗降ハンドルカバー,カバー,1,"乗降ハンドルカバー"
アウターカバー,アウターカバー,カバー,1,"アウターカバー"
煽りドア後ろコーナーカバー,煽りドア後ろコーナーカバー,カバー,1,"右煽りドア後ろコーナーカバー脱着"
バッテリーカバー,バッテリーカバー,カバー,1,"バッテリーカバーポップアップナット取替加工2カ所"
インナーバンパーカバー,インナーバンパーカバー,カバー,1,"インナーバンパーカバー"
ドアメッキカバー,ドアメッキカバー,カバー,1,"ドアメッキカバー脱着付替え加工"
カバーインナーバンパー,カバーインナーバンパー,カバー,1,"エンドカバーインナーバンパーステイ取替修正"
フォグカバー,フォグカバー,カバー,1,"フォグカバー付替え"
カバー取り付け,カバー取り付け,カバー,1,"カバー取り付け"
右ドア後ろメッキカバー,右ドア後ろメッキカバー,カバー,1,"右ドア後ろメッキカバー取替"
マフラー防熱カバー,マフラー防熱カバー,カバー,1,"マフラー防熱カバー折れ込みボルト修理"
ハンドルカバー,ハンドルカバー,カバー,1,"ハンドルカバー"
マッドガードカバー,マッドガードカバー,カバー,1,"マッドガードカバー"
工具箱カバー,工具箱カバー,カバー,1,"工具箱カバー"
踊場右縞鋼板カバー,踊場右縞鋼板カバー,カバー,1,"踊場右縞鋼板カバー"
センサーカバー,センサーカバー,カバー,1,"センサーカバー"
テールパイプカバー,テールパイプカバー,カバー,1,"テールパイプカバー"
ロアカバー,ロアカバー,カバー,1,"ロアカバー"
ゴム,ゴム,ゴム,175,"ウェザーストリップゴム取替"
左右泥除けゴム,左右泥除けゴム,ゴム,15,"左右泥除けゴム脱着ブラケット切断脱着曲がり直し付け替え溶接"
泥除けゴム,泥除けゴム,ゴム,13,"泥除けゴム化粧板脱着付替え加工"
ゴム交換,ゴム交換,ゴム,12,"タイコマフラー前後ステー脱着吊り下げゴム交換"
ウェザーストリップゴム,ウェザーストリップゴム,ゴム,7,"ウェザーストリップゴム取替"
ブッシュゴム,ブッシュゴム,ゴム,7,"ブッシュゴム貼替"
リヤ泥除けゴム,リヤ泥除けゴム,ゴム,7,"リヤ泥除けゴム取替"
右ドアーストリップゴム,右ドアーストリップゴム,ゴム,7,"右ドアーストリップゴム脱着"
アーチゴム,アーチゴム,ゴム,6,"アーチゴム取替加工"
グウェザーストリップゴム,グウェザーストリップゴム,ゴム,6,"右ウィングウェザーストリップゴム清掃点検"
ゴム取付,ゴム取付,ゴム,4,"リヤゲート戸当たりゴム取付"
左アーチゴム,左アーチゴム,ゴム,4,"左アーチゴム取替ステー曲がり直し"
戸当たりゴム,戸当たりゴム,ゴム,4,"戸当たりゴム脱着"
ストリップゴム,ストリップゴム,ゴム,4,"左右前後ウィングドアーストリップゴム接着材剝ぎ取り･ストリップゴム接着貼替"
プラットホームゴム,プラットホームゴム,ゴム,4,"プラットホームゴム3本取替加工"
ゴム貼付,ゴム貼付,ゴム,4,"ウィング左ウェザーストリップゴム貼付"
左ウェザーストリップゴム,左ウェザーストリップゴム,ゴム,3,"左ウェザーストリップゴム取替"
クッションゴム,クッションゴム,ゴム,3,"クッションゴム取替貼付２枚"
ゴム付替え,ゴム付替え,ゴム,3,"泥除けゴム付替え"
ろウェザーストリップゴム,ろウェザーストリップゴム,ゴム,3,"右ウィング後ろウェザーストリップゴム清掃貼替加工"
スプラッシュシールゴム,スプラッシュシールゴム,ゴム,3,"スプラッシュシールゴム取替"
敷ゴム,敷ゴム,ゴム,3,"敷ゴム貼替取替"
所ウェザーストリップゴム,所ウェザーストリップゴム,ゴム,3,"ウィング左右３ヶ所ウェザーストリップゴム貼り付け清掃"
左右アーチゴム,左右アーチゴム,ゴム,3,"左右アーチゴム取り換え"
スプラッシュゴム,スプラッシュゴム,ゴム,3,"スプラッシュゴム交換"
センター泥除けゴム,センター泥除けゴム,ゴム,2,"センター泥除けゴムブラケット取外し取替"
右リア泥除けゴム,右リア泥除けゴム,ゴム,2,"右リア泥除けゴム脱着"
ゴム付替,ゴム付替,ゴム,2,"アーチゴム付替"
右泥除けゴム,右泥除けゴム,ゴム,2,"右泥除けゴム修正"
右後ろ泥除けゴム,右後ろ泥除けゴム,ゴム,2,"右後ろ泥除けゴム取替加工"
右ウェザーストリップゴム,右ウェザーストリップゴム,ゴム,2,"左右ウェザーストリップゴム取替加工"
フロントマッドガードゴム,フロントマッドガードゴム,ゴム,2,"左右フロントマッドガードゴム取替加工"
ドウェザーストリップゴム,ドウェザーストリップゴム,ゴム,2,"リッドウェザーストリップゴム取替"
アウェザーストリップゴム,アウェザーストリップゴム,ゴム,2,"右ドアウェザーストリップゴム交換スカッフプレート脱着"
左リヤ泥除けゴム,左リヤ泥除けゴム,ゴム,2,"左リヤ泥除けゴム取付"
鋼板ブッシュゴム,鋼板ブッシュゴム,ゴム,1,"鋼板ブッシュゴム張替加工"
ゴム貼替,ゴム貼替,ゴム,1,"ブッシュゴム貼替"
左右戸当たりゴム,左右戸当たりゴム,ゴム,1,"左右戸当たりゴム取付加工"
左後ろ泥除けゴム,左後ろ泥除けゴム,ゴム,1,"左後ろ泥除けゴム溶接"
左泥除けゴム,左泥除けゴム,ゴム,1,"左泥除けゴム取替"
ゴムスプリング鉄板穴,ゴムスプリング鉄板穴,ゴム,1,"左右中古アーチゴムスプリング鉄板穴掘り12カ所加工"
ゴム接着貼付,ゴム接着貼付,ゴム,1,"右観音扉ストリップゴム接着貼付"
ングドアーストリップゴム,ングドアーストリップゴム,ゴム,1,"左右前後ウィングドアーストリップゴム接着材剝ぎ取り･ストリップゴム接着貼替"
ゴム接着貼替,ゴム接着貼替,ゴム,1,"左右前後ウィングドアーストリップゴム接着材剝ぎ取り･ストリップゴム接着貼替"
ズック入り平ゴム,ズック入り平ゴム,ゴム,1,"5㎜ズック入り平ゴム１枚"
ンタープラットホームゴム,ンタープラットホームゴム,ゴム,1,"右センタープラットホームゴム取替"
他ゴム,他ゴム,ゴム,1,"他ゴム脱着"
観音扉枠ゴム,観音扉枠ゴム,ゴム,1,"観音扉枠ゴム修正"
ブラケットクッションゴム,ブラケットクッションゴム,ゴム,1,"タンクブラケットクッションゴム貼替接着脱着"
左側フロント泥除けゴム,左側フロント泥除けゴム,ゴム,1,"左側フロント泥除けゴム取替加工"
ゴム取り外し,ゴム取り外し,ゴム,1,"泥除けゴム取り外し"
ェンダースプラッシュゴム,ェンダースプラッシュゴム,ゴム,1,"アッパーフェンダースプラッシュゴム脱着貼り付け加工"
ゴム貼り付け清掃,ゴム貼り付け清掃,ゴム,1,"ウィング左右３ヶ所ウェザーストリップゴム貼り付け清掃"
ゴム清掃点検,ゴム清掃点検,ゴム,1,"右ウィングウェザーストリップゴム清掃点検"
ゴム取り換え,ゴム取り換え,ゴム,1,"左右アーチゴム取り換え"
左前泥除けゴム,左前泥除けゴム,ゴム,1,"左前泥除けゴム取替加工"
左右エプロンゴム,左右エプロンゴム,ゴム,1,"左右エプロンゴム取付"
防振ゴム,防振ゴム,ゴム,1,"防振ゴム取替"
ゴム組替,ゴム組替,ゴム,1,"ウェザーストリップゴム組替"
鳥居ガードゴム,鳥居ガードゴム,ゴム,1,"鳥居ガードゴム表裏反転取付加工"
右アーチゴム,右アーチゴム,ゴム,1,"右アーチゴム取替"
左右リヤタレゴム,左右リヤタレゴム,ゴム,1,"左右リヤタレゴムガードフレーム製作取付"
エプロンゴム,エプロンゴム,ゴム,1,"エプロンゴム取替え"
後ウェザーストリップゴム,後ウェザーストリップゴム,ゴム,1,"右ウィング前後ウェザーストリップゴム清掃貼り付け修理2カ所"
右ドアストリップゴム,右ドアストリップゴム,ゴム,1,"右ドアストリップゴム脱着修正"
扉ウェザーストリップゴム,扉ウェザーストリップゴム,ゴム,1,"左右観音扉ウェザーストリップゴム取替加工"
左スプラッシュシールゴム,左スプラッシュシールゴム,ゴム,1,"左スプラッシュシールゴム交換"
ゴム清掃貼り付け,ゴム清掃貼り付け,ゴム,1,"右前ウィングウェザーストリップゴム清掃貼り付け"
可動パネルクッションゴム,可動パネルクッションゴム,ゴム,1,"1階右フロアー可動パネルクッションゴム取り付け部製作加工"
左右当たりゴム,左右当たりゴム,ゴム,1,"左右当たりゴム取外し加工"
シート,シート,シート,111,"右ウイングシート下側脱着張替"
ドライバーシート,ドライバーシート,シート,37,"ドライバーシートassy脱着"
スプリングシート,スプリングシート,シート,31,"スプリングシート4箇所亀裂カット溶接"
センターシート,センターシート,シート,6,"センターシート雨漏れ補修"
ウィングシート,ウィングシート,シート,3,"ウィングシート破れ部分補修シート貼付コーキング止め6か所"
シート交換,シート交換,シート,3,"ドライバーシート交換"
ウィングセンターシート,ウィングセンターシート,シート,2,"ウィングセンターシート前側破損部分補修テープ貼付2枚コーキング処理"
シートASSY交換,シートASSY交換,シート,2,"ドライバーシートASSY交換"
コボレーンシート,コボレーンシート,シート,2,"コボレーンシート押え脱着"
シート点検,シート点検,シート,2,"センターシート点検"
右ウイングシート,右ウイングシート,シート,1,"右ウイングシート下側脱着張替"
破れ部分補修シート,破れ部分補修シート,シート,1,"ウィングシート破れ部分補修シート貼付コーキング止め6か所"
右前ウイングシート,右前ウイングシート,シート,1,"右前ウイングシート幌骨パイプ切替溶接"
ウイングシート,ウイングシート,シート,1,"ウイングシートあまもれ点検"
シートあまもれ点検,シートあまもれ点検,シート,1,"ウイングシートあまもれ点検"
シート袋水抜き補修,シート袋水抜き補修,シート,1,"シート袋水抜き補修"
シート雨漏れ補修,シート雨漏れ補修,シート,1,"センターシート雨漏れ補修"
シート前後補修修理,シート前後補修修理,シート,1,"センターシート前後補修修理"
ウィング幌シート,ウィング幌シート,シート,1,"ウィング幌シート雨漏れ点検6カ所補修テープ貼付"
リヤシート,リヤシート,シート,1,"リヤシート掛けパイプ差込ステンブラケット２個製作穴掘りボルト止め加工"
右前ウィングシート,右前ウィングシート,シート,1,"右前ウィングシート脱着"
シートクッション交換,シートクッション交換,シート,1,"ドライバーシートクッション交換"
シートカバー付替え,シートカバー付替え,シート,1,"シートカバー付替え"
シート肘掛け交換,シート肘掛け交換,シート,1,"2月20日ドライバーシート肘掛け交換"
左コボレーンシート,左コボレーンシート,シート,1,"左コボレーンシート1部脱着"
鳥居シート,鳥居シート,シート,1,"鳥居シート載せ左右亀裂溶接2ヶ所"
シート補修,シート補修,シート,1,"コボレーンシート補修"
右コボレーンシート,右コボレーンシート,シート,1,"右コボレーンシート脱着リベット打ち替え加工"
運転席側シート,運転席側シート,シート,1,"運転席側シートクッション取替"
シート雨漏れ点検,シート雨漏れ点検,シート,1,"ウィングセンターシート雨漏れ点検"
シート張替,シート張替,シート,1,"4tセンターシート張替"
ステー,ステー,ステー,353,"右ウイング枠骨ステー腐食部分切断付け替え溶接"
ステー曲がり直し,ステー曲がり直し,ステー,27,"反射板ステー曲がり直し"
左サイドガードステー,左サイドガードステー,ステー,15,"左サイドガードステー曲がり直し鈑金"
フェンダーステー,フェンダーステー,ステー,14,"フェンダーステー脱着折損部リブ入れ溶接"
右サイドガードステー,右サイドガードステー,ステー,12,"右サイドガードステー折損部修正リブ入れ溶接"
左右ステー,左右ステー,ステー,11,"左右ステー取替一式"
突っ張りステー,突っ張りステー,ステー,10,"突っ張りステー取替"
ステー鈑金,ステー鈑金,ステー,8,"右フレーム曲がり直しカプラーステー鈑金"
作業灯ステー,作業灯ステー,ステー,6,"作業灯ステー4本製作取付加工"
左ステー,左ステー,ステー,6,"左ステー制作取付"
工具箱ステー,工具箱ステー,ステー,6,"工具箱ステー左右切替加工溶接2本"
左右サイドガードステー,左右サイドガードステー,ステー,5,"左右サイドガードステー3本腐食折損部補強リブ取付加工溶接"
右ステー,右ステー,ステー,5,"右ステー穴掘り加工"
サイドガードステー,サイドガードステー,ステー,4,"サイドガードステー固定リブ制作取付加工"
左バンパーステー,左バンパーステー,ステー,4,"左バンパーステー取替"
左サイドガード後ろステー,左サイドガード後ろステー,ステー,4,"左サイドガード後ろステー折損部修正取付溶接"
ステー交換,ステー交換,ステー,4,"ステー交換"
左右バンパーステー,左右バンパーステー,ステー,3,"左右バンパーステー脱着曲がり直し"
ガードステー,ガードステー,ステー,3,"ガードステー脱着"
右工具箱ステー,右工具箱ステー,ステー,3,"右工具箱ステー腐食製作切断加工溶接"
バックランプステー,バックランプステー,ステー,3,"バックランプステー製作取替加工"
アンダーステー,アンダーステー,ステー,3,"アンダーステー脱着"
センターステー,センターステー,ステー,3,"センターステー脱着曲がり直し"
ブレ止めステー,ブレ止めステー,ステー,2,"ブレ止めステー製作取替加工"
リヤバンパーステー,リヤバンパーステー,ステー,2,"リヤバンパーステーボルト切断"
ステー制作取付,ステー制作取付,ステー,2,"左ステー制作取付"
ム曲がり直しカプラーステー,ム曲がり直しカプラーステー,ステー,2,"右フレーム曲がり直しカプラーステー鈑金"
折損ステー,折損ステー,ステー,2,"折損ステー取付リブ入れ溶接"
左後ろサイドガードステー,左後ろサイドガードステー,ステー,2,"左後ろサイドガードステー折損部落下防止ステー製作応急取付加工"
右ミラーステー,右ミラーステー,ステー,2,"右ミラーステー調整"
右サイドガード前ステー,右サイドガード前ステー,ステー,2,"右サイドガード前ステー脱着折損溶接補強材制作取付溶接"
スイッチステー,スイッチステー,ステー,2,"スイッチステー切断付替え加工"
右前サイドガードステー,右前サイドガードステー,ステー,2,"右前サイドガードステー折損溶接"
ステンロックスイッチステー,ステンロックスイッチステー,ステー,2,"左右ステンロックスイッチステー脱着Z曲げ加工リベット打ち替え6本"
左ハーネスステー,左ハーネスステー,ステー,2,"左ハーネスステー脱着"
ステー取付,ステー取付,ステー,2,"フラッシャーステー取付"
取付ステー,取付ステー,ステー,2,"取付ステー曲がり直し"
グリルステー,グリルステー,ステー,2,"グリルステー曲がり直し鈑金"
バンパーステー,バンパーステー,ステー,2,"バンパーステー引出し"
ステー引出し,ステー引出し,ステー,2,"バンパーステー引出し"
左ミラーステー,左ミラーステー,ステー,2,"左ミラーステー曲がり直し"
反射板ステー,反射板ステー,ステー,1,"反射板ステー曲がり直し"
コンデンサーステー,コンデンサーステー,ステー,1,"コンデンサーステー鈑金亀裂溶接"
タイヤ灯ステー,タイヤ灯ステー,ステー,1,"タイヤ灯ステー製作塗装取付溶接"
取付部分ステー,取付部分ステー,ステー,1,"取付部分ステー引出し修正"
右バンパーステー,右バンパーステー,ステー,1,"右バンパーステー修正"
風防補強ステー,風防補強ステー,ステー,1,"風防補強ステー溶接"
左前サイドガードステー,左前サイドガードステー,ステー,1,"左前サイドガードステー修正タップ掛けボルト取付"
グキャッチ受けステンステー,グキャッチ受けステンステー,ステー,1,"右前ウィングキャッチ受けステンステー脱着曲がり直し"
クッションステー,クッションステー,ステー,1,"クッションステー取替"
ステンステー,ステンステー,ステー,1,"ステンステー穴掘り6ミリリベット打ち３本"
ステー引出し鈑金,ステー引出し鈑金,ステー,1,"左サイドガードステー引出し鈑金"
延長ステー,延長ステー,ステー,1,"延長ステー左右取付"
ステー左右取付,ステー左右取付,ステー,1,"延長ステー左右取付"
アルミステー,アルミステー,ステー,1,"アルミステー製作取替加工"
横根太ステー,横根太ステー,ステー,1,"横根太ステー脱着"
ホースステー,ホースステー,ステー,1,"ホースステー切断リブ制作取付溶接"
右後ろサイドガードステー,右後ろサイドガードステー,ステー,1,"右後ろサイドガードステー折損部修正取付溶接"
左フェンダーステー,左フェンダーステー,ステー,1,"左フェンダーステー取付12ミリボルト2本ASSY取替"
パイプ取付ステー,パイプ取付ステー,ステー,1,"左右アウトリガーASSY取替加工･パイプ取付ステー左右切断製作取替溶接"
補強ステー,補強ステー,ステー,1,"補強ステー脱着修正"
左右看板ステー,左右看板ステー,ステー,1,"左右看板ステー2カ所切断取外し加工"
タイヤ灯ステンステー,タイヤ灯ステンステー,ステー,1,"タイヤ灯ステンステー折損部補強取付ステン溶接"
イドドアー上側ガイドステー,イドドアー上側ガイドステー,ステー,1,"左スライドドアー上側ガイドステー脱着取付"
下側ガイドステー,下側ガイドステー,ステー,1,"下側ガイドステー脱着"
ステップステー,ステップステー,ステー,1,"ステップステー脱着修正"
踊り場枠骨右ステー,踊り場枠骨右ステー,ステー,1,"踊り場枠骨右ステー脱着折損溶接補強材取付溶接"
左サイドガード前後ステー,左サイドガード前後ステー,ステー,1,"左サイドガード前後ステーパイプ2本腐食部分切断切替溶接"
