id,invoice_id,line_no,sub_no,raw_label_part,action,target,unit_price,quantity,amount,is_cancelled,confidence_score,extraction_method,notes,created_at,updated_at,record_type,raw_label_full,set_name,other,is_latest
23,21111297-1,2,0,右ウイング枠骨ステー腐食部分切断付け替え溶接 他（4点）,切断,,38000,1,38000,false,0.90,自動変換,,,,set_parent,右ウイング枠骨ステー腐食部分切断付け替え溶接、補強リブ制作取付、枠曲がり直し、枠腐食部分切断フラットバー切替溶接,右ウイング枠骨ステー腐食部分切断付け替え溶接 他（4点）,,true
24,21111297-1,2,1,右ウイング枠骨ステー腐食部分切断付け替え溶接,切断・溶接,ステー,,1,,false,0.90,自動変換,,,,set_child,右ウイング枠骨ステー腐食部分切断付け替え溶接、補強リブ制作取付、枠曲がり直し、枠腐食部分切断フラットバー切替溶接,右ウイング枠骨ステー腐食部分切断付け替え溶接 他（4点）,,true
25,21111297-1,2,2,補強リブ制作取付,取付,,,1,,false,0.90,自動変換,,,,set_child,右ウイング枠骨ステー腐食部分切断付け替え溶接、補強リブ制作取付、枠曲がり直し、枠腐食部分切断フラットバー切替溶接,右ウイング枠骨ステー腐食部分切断付け替え溶接 他（4点）,,true
26,21111297-1,2,3,枠曲がり直し,曲がり直し,,,1,,false,0.90,自動変換,,,,set_child,右ウイング枠骨ステー腐食部分切断付け替え溶接、補強リブ制作取付、枠曲がり直し、枠腐食部分切断フラットバー切替溶接,右ウイング枠骨ステー腐食部分切断付け替え溶接 他（4点）,,true
27,21111297-1,2,4,枠腐食部分切断フラットバー切替溶接,切断・切替・溶接,,,1,,false,0.90,自動変換,,,,set_child,右ウイング枠骨ステー腐食部分切断付け替え溶接、補強リブ制作取付、枠曲がり直し、枠腐食部分切断フラットバー切替溶接,右ウイング枠骨ステー腐食部分切断付け替え溶接 他（4点）,,true
28,21111298-1,1,1,反射板ステー曲がり直し,曲がり直し,ステー,4000,1,4000,false,0.90,自動変換,,,,individual,反射板ステー曲がり直し,,,true
29,21111298-1,2,0,左右反射板取替 他（2点）,,,6500,1,6500,false,0.90,自動変換,,,,set_parent,左右反射板取替、リベット打ち換え,左右反射板取替 他（2点）,,true
30,21111298-1,2,1,左右反射板取替,取替,,,1,,false,0.90,自動変換,,,,set_child,左右反射板取替、リベット打ち換え,左右反射板取替 他（2点）,,true
31,21111298-1,2,2,リベット打ち換え,,,,1,,false,0.90,自動変換,,,,set_child,左右反射板取替、リベット打ち換え,左右反射板取替 他（2点）,,true
32,21111299-1,1,1,マフラーカバー取付,カバー・取付,マフラーカバー,1000,1,1000,false,0.90,自動変換,,,,individual,マフラーカバー取付,,,true
33,21111300-1,1,1,左右サイドガード亀裂溶接4ヶ所,溶接,サイドガード,8000,1,8000,false,0.90,自動変換,,,,individual,左右サイドガード亀裂溶接4ヶ所,,,true
34,21111301-1,1,1,パイプ応急穴埋め溶接,溶接,パイプ,4000,1,4000,false,0.90,自動変換,,,,individual,パイプ応急穴埋め溶接,,,true
35,21111302-1,1,1,左前ウィングキャッチ取替,取替,,1000,1,1000,false,0.90,自動変換,,,,individual,左前ウィングキャッチ取替,,,true
36,21111302-1,2,1,アンダーミラー点検応急貼付,点検・貼付,アンダーミラー,1000,1,1000,false,0.90,自動変換,,,,individual,アンダーミラー点検応急貼付,,,true
37,21111303-1,1,1,左右サイドガードステー3本腐食折損部補強リブ取付加工溶接,加工・取付・溶接,サイドガード・ステー,6000,3,18000,false,0.90,自動変換,,,,individual,左右サイドガードステー3本腐食折損部補強リブ取付加工溶接,,,true
38,21111304-1,1,1,右後ろサイドガード溶接,溶接,サイドガード,3000,1,3000,false,0.90,自動変換,,,,individual,右後ろサイドガード溶接,,,true
39,21111305-1,1,1,右サイドガード折損部修正取付溶接,修正・取付・溶接,サイドガード,3000,1,3000,false,0.90,自動変換,,,,individual,右サイドガード折損部修正取付溶接,,,true
40,21111305-1,2,0,タイコマフラー後ろ差し込み口鈑金溶接 他（2点）,溶接,,8000,1,8000,false,0.90,自動変換,,,,set_parent,タイコマフラー後ろ差し込み口鈑金、腐食3ヶ所穴埋め溶接,タイコマフラー後ろ差し込み口鈑金溶接 他（2点）,,true
41,21111305-1,2,1,タイコマフラー後ろ差し込み口鈑金,鈑金,,,1,,false,0.90,自動変換,,,,set_child,タイコマフラー後ろ差し込み口鈑金、腐食3ヶ所穴埋め溶接,タイコマフラー後ろ差し込み口鈑金溶接 他（2点）,,true
42,21111305-1,2,2,腐食3ヶ所穴埋め溶接,溶接,,,1,,false,0.90,自動変換,,,,set_child,タイコマフラー後ろ差し込み口鈑金、腐食3ヶ所穴埋め溶接,タイコマフラー後ろ差し込み口鈑金溶接 他（2点）,,true
43,21111305-1,3,0,テールパイプ取替 他（2点）,取替,,5000,1,5000,false,0.90,自動変換,,,,set_parent,テールパイプ取替、ボルト切断取替,テールパイプ取替 他（2点）,,true
44,21111305-1,3,1,テールパイプ取替,取替,パイプ,,1,,false,0.90,自動変換,,,,set_child,テールパイプ取替、ボルト切断取替,テールパイプ取替 他（2点）,,true
45,21111305-1,3,2,ボルト切断取替,切断・取替,,,1,,false,0.90,自動変換,,,,set_child,テールパイプ取替、ボルト切断取替,テールパイプ取替 他（2点）,,true
46,21111306-1,1,0,左右3ヶ所イコライザーロックピン修正ロック切断固定溶接 他（2点）,溶接,,6000,3,18000,false,0.90,自動変換,,,,set_parent,左右3ヶ所イコライザーロックピン修正ロック切断固定溶接、ロック下駄取付加工溶接,左右3ヶ所イコライザーロックピン修正ロック切断固定溶接 他（2点）,,true
47,21111306-1,1,1,左右3ヶ所イコライザーロックピン修正ロック切断固定溶接,修正・切断・溶接,,,1,,false,0.90,自動変換,,,,set_child,左右3ヶ所イコライザーロックピン修正ロック切断固定溶接、ロック下駄取付加工溶接,左右3ヶ所イコライザーロックピン修正ロック切断固定溶接 他（2点）,,true
48,21111306-1,1,2,ロック下駄取付加工溶接,加工・取付・溶接,,,1,,false,0.90,自動変換,,,,set_child,左右3ヶ所イコライザーロックピン修正ロック切断固定溶接、ロック下駄取付加工溶接,左右3ヶ所イコライザーロックピン修正ロック切断固定溶接 他（2点）,,true
